iter	MultiClass
0	1.087825319
1	1.084239605
2	1.077186862
3	1.069055709
4	1.067820359
5	1.060443613
6	1.045098817
7	1.040300071
8	1.032232171
9	1.020840625
10	1.009344094
11	1.006706925
12	1.003869112
13	0.9979644201
14	0.9971023207
15	0.9959185564
16	0.9864592245
17	0.9819399696
18	0.9771096609
19	0.9770531441
20	0.9770100634
21	0.9714185707
22	0.9673442961
23	0.9612756907
24	0.9573014926
25	0.9537884868
26	0.94954568
27	0.9441196953
28	0.9418159133
29	0.9390311962
30	0.9296723403
31	0.9237279273
32	0.9155412921
33	0.9087559501
34	0.9084497016
35	0.9057132516
36	0.8991085249
37	0.8957176191
38	0.8954872443
39	0.8853201959
40	0.8844517611
41	0.8761514457
42	0.8707602065
43	0.8632651911
44	0.8565333308
45	0.8521163071
46	0.8422285243
47	0.8382607054
48	0.832977936
49	0.8279925362
50	0.8224643185
51	0.8112295391
52	0.8071205364
53	0.8031990905
54	0.7971834755
55	0.791743773
56	0.787084807
57	0.7798940038
58	0.7750896253
59	0.7703551417
60	0.7616753652
61	0.7590503326
62	0.7510354706
63	0.747006971
64	0.7416312575
65	0.7339204778
66	0.7283341733
67	0.7236104602
68	0.7209128165
69	0.7166894493
70	0.7109160864
71	0.7079531989
72	0.7036624032
73	0.7003278316
74	0.6954883416
75	0.6910413633
76	0.6844327503
77	0.6817032015
78	0.677672191
79	0.6735338019
80	0.6679864135
81	0.6635038178
82	0.6600034706
83	0.6570605595
84	0.6520584769
85	0.6499441544
86	0.6419186306
87	0.6360540555
88	0.6329954306
89	0.6293412978
90	0.6263571399
91	0.6214140654
92	0.6163126542
93	0.6134379742
94	0.610109833
95	0.607653594
96	0.6046849196
97	0.5996685207
98	0.5972599212
99	0.592697119
100	0.5879935555
101	0.5842901827
102	0.5818942565
103	0.5785920547
104	0.5759814632
105	0.5741700545
106	0.5689392326
107	0.5678583035
108	0.5632935569
109	0.5612114757
110	0.5577539063
111	0.5560021184
112	0.5512538346
113	0.547120007
114	0.545538986
115	0.5427594443
116	0.5392031719
117	0.5343350382
118	0.5287781482
119	0.5269001808
120	0.5241242595
121	0.5209593963
122	0.5178905673
123	0.5145454412
124	0.5106521177
125	0.5063017337
126	0.5033035372
127	0.4998292471
128	0.4961117388
129	0.4944646697
130	0.4921450781
131	0.4888155506
132	0.4846659397
133	0.4812625077
134	0.4778651981
135	0.4750416128
136	0.4733332122
137	0.4691922524
138	0.4666840724
139	0.4639300075
140	0.4616266468
141	0.4593181649
142	0.4554166338
143	0.4538311756
144	0.4522009894
145	0.4493599145
146	0.4457003907
147	0.4440425444
148	0.4423095785
149	0.439557334
150	0.4369671255
151	0.4342888527
152	0.4313475338
153	0.4278780278
154	0.4255477367
155	0.4234606611
156	0.4204449846
157	0.4181161832
158	0.415361805
159	0.4125078313
160	0.4098219784
161	0.4088766028
162	0.4062215825
163	0.403588904
164	0.4021751266
165	0.3996968286
166	0.3981047637
167	0.397046096
168	0.3950463826
169	0.3922845172
170	0.391494704
171	0.3904916959
172	0.3882535334
173	0.3866458154
174	0.3859109667
175	0.3838072781
176	0.381658256
177	0.3784767479
178	0.3763891466
179	0.3749628244
180	0.3729533912
181	0.3703585411
182	0.3690439787
183	0.3679000059
184	0.3662320482
185	0.3643580527
186	0.3621167903
187	0.3598165757
188	0.3591419228
189	0.3581818846
190	0.3562062559
191	0.3539272113
192	0.3515549039
193	0.3497043709
194	0.3480511683
195	0.3452162152
196	0.3445799284
197	0.3428836542
198	0.3410472649
199	0.3399872566
200	0.3371434325
201	0.3364650316
202	0.333879751
203	0.3314987664
204	0.3297344535
205	0.3281702816
206	0.3271859462
207	0.3256668921
208	0.3230417406
209	0.3221136027
210	0.3210001809
211	0.3200372364
212	0.3188149139
213	0.3177826578
214	0.3164891505
215	0.3160955758
216	0.3155059944
217	0.3148572198
218	0.3136390741
219	0.3127222396
220	0.3111001631
221	0.3098023985
222	0.307960183
223	0.3061024533
224	0.3047959035
225	0.304174683
226	0.3022426303
227	0.3008267747
228	0.3001123413
229	0.2988301455
230	0.2978572404
231	0.295844902
232	0.2940030051
233	0.2931295247
234	0.2921038047
235	0.2912109502
236	0.2905684671
237	0.289110399
238	0.288193118
239	0.2867365142
240	0.2856842741
241	0.2848753756
242	0.2834262865
243	0.2825486691
244	0.2815042962
245	0.281102613
246	0.2804075992
247	0.2793739084
248	0.2768678622
249	0.2746434174
250	0.2735382689
251	0.2732811011
252	0.2716833422
253	0.2708281932
254	0.2695207724
255	0.2680895044
256	0.2670753736
257	0.2660809671
258	0.2644683251
259	0.2640544591
260	0.2630528829
261	0.2620624025
262	0.2610517571
263	0.2598678107
264	0.2594701347
265	0.2585706044
266	0.2577527739
267	0.256519696
268	0.2551896414
269	0.2537960881
270	0.2531847604
271	0.2521358217
272	0.2516265101
273	0.250426511
274	0.2490751753
275	0.2482342827
276	0.2472097954
277	0.2462522582
278	0.2457391666
279	0.2449483061
280	0.2446900914
281	0.2428780577
282	0.241493449
283	0.2406648127
284	0.2401050654
285	0.2393577403
286	0.238326185
287	0.2378313889
288	0.236709138
289	0.23578676
290	0.2346930264
291	0.2341488163
292	0.2330290584
293	0.2319468186
294	0.2314044072
295	0.2308726819
296	0.2301340803
297	0.2291812511
298	0.2279530023
299	0.2274913675
300	0.2270517947
301	0.2263481229
302	0.2252106695
303	0.2241576152
304	0.2233139905
305	0.2227184237
306	0.2222173774
307	0.2209521698
308	0.219404387
309	0.2187028668
310	0.217629975
311	0.2164829191
312	0.2154845189
313	0.2148676328
314	0.2132366075
315	0.2127030701
316	0.2113897943
317	0.2104127698
318	0.2098324164
319	0.2093054445
320	0.2087151746
321	0.2076745688
322	0.2070664146
323	0.2061010102
324	0.2054866826
325	0.2049627867
326	0.2042734392
327	0.2037597595
328	0.2034705728
329	0.2024117678
330	0.2019888145
331	0.2011879243
332	0.2000302409
333	0.1995499605
334	0.1990161211
335	0.1981339536
336	0.1979836713
337	0.1971675073
338	0.196360473
339	0.1958807264
340	0.1954571645
341	0.1950103715
342	0.1944068443
343	0.1940089074
344	0.1933665149
345	0.1927270486
346	0.1916839807
347	0.1912634874
348	0.1909664176
349	0.1906214313
350	0.1902071256
351	0.189810615
352	0.1890199204
353	0.1883852914
354	0.187797853
355	0.1874874734
356	0.1866207747
357	0.1858509872
358	0.1853274483
359	0.1845448774
360	0.1838303111
361	0.1830186599
362	0.1822367752
363	0.18199485
364	0.1814382415
365	0.1807619939
366	0.1799726454
367	0.1793630597
368	0.1785764912
369	0.178253927
370	0.1777357508
371	0.1773636297
372	0.1770518633
373	0.1763692123
374	0.1761107982
375	0.1752616263
376	0.1747957533
377	0.1744603803
378	0.1739060739
379	0.173523986
380	0.1728678376
381	0.1723612458
382	0.1717837208
383	0.1712554979
384	0.1706682016
385	0.1702703998
386	0.1695294951
387	0.1688191224
388	0.1682758716
389	0.1679197311
390	0.1676175606
391	0.1670268335
392	0.1666088128
393	0.1661239281
394	0.1655184948
395	0.1651529169
396	0.1645604675
