iter	Passed	Remaining
0	39	19780
1	59	14736
2	84	13940
3	122	15129
4	128	12752
5	159	13099
6	190	13411
7	231	14222
8	271	14790
9	316	15497
10	349	15524
11	382	15550
12	413	15485
13	445	15480
14	460	14895
15	482	14602
16	514	14604
17	551	14754
18	584	14805
19	591	14197
20	596	13595
21	631	13712
22	682	14155
23	721	14302
24	762	14480
25	794	14483
26	836	14654
27	870	14678
28	906	14715
29	942	14773
30	980	14835
31	1015	14846
32	1049	14854
33	1084	14859
34	1099	14609
35	1133	14604
36	1170	14646
37	1202	14622
38	1211	14324
39	1242	14292
40	1259	14094
41	1293	14104
42	1325	14086
43	1364	14141
44	1401	14167
45	1430	14119
46	1461	14088
47	1493	14068
48	1528	14067
49	1562	14065
50	1596	14052
51	1633	14074
52	1664	14042
53	1696	14013
54	1728	13988
55	1761	13969
56	1803	14014
57	1852	14116
58	1895	14165
59	1924	14113
60	1954	14064
61	1985	14027
62	2017	13991
63	2050	13972
64	2082	13935
65	2118	13928
66	2155	13932
67	2193	13934
68	2228	13919
69	2266	13920
70	2308	13946
71	2360	14028
72	2416	14133
73	2463	14182
74	2509	14221
75	2543	14192
76	2573	14140
77	2604	14093
78	2638	14060
79	2669	14017
80	2707	14003
81	2741	13975
82	2772	13928
83	2802	13876
84	2831	13823
85	2862	13781
86	2901	13773
87	2944	13783
88	2976	13743
89	3016	13739
90	3045	13689
91	3075	13637
92	3105	13592
93	3140	13563
94	3173	13527
95	3203	13480
96	3231	13426
97	3262	13384
98	3297	13358
99	3337	13349
100	3372	13324
101	3411	13311
102	3450	13301
103	3496	13313
104	3537	13306
105	3596	13367
106	3635	13351
107	3664	13301
108	3702	13281
109	3747	13288
110	3785	13267
111	3827	13259
112	3904	13370
113	3963	13420
114	4037	13516
115	4128	13666
116	4202	13757
117	4235	13712
118	4265	13657
119	4298	13612
120	4332	13569
121	4369	13538
122	4401	13492
123	4446	13481
124	4479	13437
125	4528	13441
126	4563	13402
127	4596	13358
128	4629	13314
129	4667	13283
130	4703	13248
131	4739	13213
132	4783	13199
133	4816	13156
134	4847	13105
135	4875	13047
136	4902	12989
137	4931	12937
138	4963	12889
139	4997	12850
140	5088	12954
141	5130	12935
142	5156	12873
143	5188	12826
144	5223	12788
145	5262	12758
146	5297	12721
147	5328	12674
148	5358	12622
149	5388	12574
150	5418	12523
151	5452	12482
152	5488	12446
153	5519	12400
154	5550	12355
155	5590	12327
156	5621	12280
157	5648	12227
158	5676	12174
159	5705	12124
160	5739	12085
161	5781	12062
162	5814	12020
163	5856	11999
164	5890	11959
165	5924	11920
166	5958	11880
167	5986	11830
168	6020	11791
169	6050	11744
170	6080	11699
171	6126	11683
172	6171	11664
173	6203	11623
174	6233	11576
175	6264	11531
176	6294	11486
177	6326	11444
178	6367	11418
179	6403	11383
180	6443	11355
181	6474	11313
182	6506	11271
183	6541	11234
184	6571	11189
185	6610	11160
186	6654	11138
187	6684	11092
188	6719	11056
189	6755	11022
190	6788	10982
191	6821	10942
192	6860	10912
193	6888	10865
194	6918	10820
195	6960	10795
196	7001	10768
197	7034	10729
198	7077	10704
199	7121	10682
200	7150	10636
201	7194	10613
202	7239	10591
203	7273	10553
204	7303	10509
205	7336	10470
206	7366	10426
207	7391	10377
208	7420	10331
209	7449	10287
210	7482	10249
211	7514	10208
212	7554	10179
213	7596	10151
214	7629	10113
215	7658	10069
216	7695	10035
217	7725	9993
218	7758	9954
219	7789	9913
220	7819	9871
221	7850	9830
222	7881	9790
223	7913	9750
224	7940	9704
225	7973	9667
226	8006	9629
227	8038	9589
228	8067	9547
229	8100	9509
230	8141	9480
231	8180	9450
232	8222	9422
233	8252	9381
234	8282	9339
235	8310	9296
236	8337	9252
237	8365	9209
238	8393	9166
239	8427	9130
240	8458	9090
241	8490	9051
242	8520	9011
243	8549	8969
244	8578	8928
245	8606	8886
246	8638	8848
247	8676	8816
248	8710	8780
249	8754	8754
250	8786	8716
251	8820	8680
252	8851	8641
253	8881	8602
254	8912	8563
255	8945	8525
256	8975	8486
257	9009	8450
258	9043	8414
259	9077	8379
260	9113	8345
261	9146	8308
262	9179	8271
263	9213	8236
264	9246	8199
265	9288	8171
266	9326	8139
267	9362	8105
268	9394	8067
269	9427	8030
270	9458	7992
271	9489	7954
272	9540	7932
273	9573	7896
274	9603	7857
275	9635	7819
276	9665	7780
277	9694	7741
278	9723	7702
279	9757	7666
280	9803	7640
281	9831	7600
282	9863	7562
283	9900	7530
284	9931	7492
285	9959	7452
286	9994	7417
287	10020	7376
288	10050	7337
289	10080	7299
290	10108	7260
291	10137	7220
292	10167	7182
293	10196	7144
294	10224	7105
295	10255	7068
296	10284	7029
297	10318	6994
298	10350	6958
299	10380	6920
300	10411	6883
301	10456	6855
302	10488	6819
303	10521	6783
304	10554	6747
305	10585	6711
306	10617	6674
307	10647	6637
308	10677	6599
309	10710	6564
310	10739	6526
311	10769	6489
312	10800	6452
313	10832	6416
314	10866	6381
315	10896	6344
316	10929	6309
317	10966	6276
318	10995	6239
319	11026	6202
320	11060	6167
321	11092	6131
322	11130	6099
323	11163	6064
324	11194	6027
325	11231	5994
326	11262	5958
327	11295	5923
328	11329	5888
329	11376	5860
330	11406	5824
331	11434	5785
332	11464	5749
333	11493	5712
334	11524	5676
335	11558	5641
336	11591	5606
337	11640	5579
338	11679	5546
339	11712	5511
340	11743	5475
341	11773	5439
342	11805	5403
343	11835	5367
344	11865	5330
345	11898	5295
346	11926	5258
347	11954	5221
348	11982	5184
349	12011	5147
350	12052	5116
351	12082	5080
352	12115	5045
353	12146	5009
354	12180	4975
355	12213	4940
356	12242	4903
357	12273	4868
358	12306	4833
359	12334	4796
360	12363	4760
361	12396	4725
362	12439	4694
363	12468	4658
364	12504	4624
365	12534	4589
366	12565	4553
367	12594	4517
368	12626	4482
369	12653	4445
370	12681	4409
371	12709	4373
372	12743	4338
373	12771	4302
374	12801	4267
375	12839	4234
376	12873	4200
377	12900	4163
378	12929	4127
379	12962	4093
380	12991	4057
381	13023	4022
382	13058	3989
383	13086	3953
384	13114	3917
385	13144	3881
386	13175	3847
387	13212	3813
388	13245	3779
389	13278	3745
390	13307	3709
391	13333	3673
392	13366	3639
393	13395	3603
394	13424	3568
395	13457	3534
396	13485	3498
397	13515	3463
398	13545	3428
399	13581	3395
400	13621	3362
401	13661	3330
402	13693	3295
403	13725	3261
404	13758	3227
405	13804	3196
406	13840	3162
407	13882	3130
408	13921	3097
409	13954	3063
410	13992	3030
411	14031	2997
412	14063	2962
413	14091	2927
414	14121	2892
415	14149	2857
416	14175	2821
417	14203	2786
418	14229	2750
419	14258	2715
420	14289	2681
421	14318	2646
422	14353	2612
423	14387	2578
424	14422	2545
425	14451	2510
426	14486	2476
427	14529	2444
428	14558	2409
429	14591	2375
430	14622	2340
431	14653	2306
432	14682	2271
433	14716	2238
434	14744	2203
435	14777	2169
436	14813	2135
437	14850	2102
438	14879	2067
439	14909	2033
440	14939	1998
441	14968	1964
442	14998	1929
443	15034	1896
444	15079	1863
